shop_category;product_category;name;short_description;price
Fromagerie;Plateaux Apéro;Roméo & Juliette ; 2 personnesTome d'Aquitaine 100 g, tomette de brebis 100 g et tome d'Aliénor 100 g ;1500
Fromagerie;Plateaux Apéro;Daltons ; 4 personnestome des Recollets 150 g, Ardigasna Iraty 150 g, comte doux 150 g, tome du Couserans 150 g ;2500
Fromagerie;Plateaux Apéro;Complet ; 6 personnesComté réservation 2014 150 g, tomette de brebis 150 g, tome des Recollets 150 g, confiture de myrtille et vin au choix ;3500
Fromagerie;Fromages dressés;Ossau;Ossau 200 g;850
Fromagerie;Fromages dressés;Tomette de brebis;Tomette de brebis 200 g;850
Fromagerie;Fromages dressés;Le pyrénéen;Le pyrénéen 200 g;550
Fromagerie;Fromages dressés;Sainte Maure;Pièce de Sainte Maure;1450
Fromagerie;Plateaux Découverte;Petit ; 4 personnes Pièce de Laurentine, tomette de brebis 200 g, comte réservation 2014 200 g et tome du Couserans 200 g;3000
Fromagerie;Plateaux Découverte;Moyen ; 6 à 8 personnesTome d'Aliénor 200 g, tomette de brebis 200 g, comte réservation 2014 200 g, brie de Meaux 200 g et Selles;3800
Fromagerie;Plateaux Découverte;Grand ;Cher 250 g, Girondine piment 250 g, Brie de Maux 250 g et bleu d'Auvergne 250 g;4500
Boucherie;Bœuf;Prix exceptionnel !Entrecôte Angus origine Bresil;pour 560/600g 29.994 €/Kg;1792
Boucherie;Bœuf;Rosbif (rumsteck) race Simmental;pour 900/1000g 24.5 €/Kg;2398
Boucherie;Bœuf;Faux filet (origine France);pour 380/400g 27.8 €/Kg;1117
Boucherie;Bœuf;Moitié prix ! Faux-Filet piécé;pour 380/400g 13.45 €/Kg;540
Boucherie;Bœuf;Filet de boeuf Chateaubriand (origine France);pour 300/320g 51.39 €/Kg;1641
Boucherie;Bœuf;Offre d'exception ! Rôti de filet de boeuf (origine France);pour 900/1000g 54.52 €/Kg;5334
Boucherie;Bœuf;Bavette d'aloyau;pour 300/320g 21.4 €/Kg;683
Boucherie;Bœuf;Côte de boeuf supérieure (origine France);pour 920/1000g 34.9 €/Kg;3451
Boucherie;Bœuf;Faux filet Salers;pour 380/400g 29.83 €/Kg;1198
Boucherie;Bœuf;Onglet de boeuf;pour 300/320g 26.85 €/Kg;857
Boucherie;Bœuf;Rumsteck en rôti (origine France);pour 900/1000g 28.8 €/Kg;2818
Boucherie;Bœuf;Entrecôte supérieure (Origine France);pour 420/440g 34.52 €/Kg;1529
Boucherie;Bœuf;Pavé de rumsteck (origine France);pour 300/320g 27.17 €/Kg;867
Boucherie;Bœuf;Prix exceptionnel ! Hampe de boeuf;pour 300/320g 15 €/Kg;479
Boucherie;Bœuf;Produit d'exception ! Entrecôte Angus;pour 560/600g 41.83 €/Kg;2499
Boucherie;Bœuf;Rosbif supérieur (tranche, tranche grasse);pour 900/1000g 26.56 €/Kg;2599
Boucherie;Bœuf;Pot au feu individuel;pour 260/280g 14.27 €/Kg;397
Boucherie;Bœuf;Steak supérieur (tranche, tranche grasse);pour 300/320g 25.56 €/Kg;816
Boucherie;Bœuf;Tranche de rumsteck;pour 430/450g 24.7 €/Kg;1120
Boucherie;Bœuf;Bourguignon (jarret de boeuf);pour 480/500g 12.59 €/Kg;636
Boucherie;Bœuf;Bavette d'aloyau Angus (Irlande / Ecosse);pour 300/320g 18.07 €/Kg;577
Boucherie;Bœuf;Morceau à fondue ou brochettes origine France (coeur de rumsteck);pour 480/500g 25.93 €/Kg;1309
Boucherie;Bœuf;Faux-filet entier (origine France);pour 900/1000g 24.8 €/Kg;2427
Boucherie;Bœuf;Pavé de rumsteck (Salers);pour 340/360g 29.64 €/Kg;1068
Boucherie;Bœuf;Filet de boeuf (Salers);pour 340/360g 52.9 €/Kg;1908
Boucherie;Bœuf;Côte de boeuf supérieure (Salers);pour 900/1000g 35.9 €/Kg;3513
Boucherie;Bœuf;Jarret de boeuf sans os;pour 480/500g 11.4 €/Kg;576
Boucherie;Bœuf;Plat de côtes de boeuf;pour 580/600g 10.51 €/Kg;639
