name;address
Boulangerie Poilâne;8 r Cherche Midi, 75006 PARIS;
Boulangerie Poilâne;49 bd Grenelle, 75015 PARIS;
Boulangerie Poilâne;8 r Cherche Midi, 75006 PARIS;
Finkelsztajn Sacha;27 r Rosiers, 75004 PARIS;
La Boutique Jaune;27 r Rosiers, 75004 PARIS;
L'atelier des pains;219 Ave de Versailles, 75016 PARIS;
L'atelier des pains & Co;8 r de Ponthieu, 75008 PARIS;
Le Fournil des Traditions;169 bd Lefebvre, 75015 PARIS;
Le Pain Retrouvé;60 r Duhesme, 75018 PARIS;
Le Quartier Du Pain;93 r Raymond Losserand, 75014 PARIS;
Le Quartier du Pain;116 r Tocqueville, 75017 PARIS;
Le Quartier du Pain;270 r Vaugirard, 75015 PARIS;
Louvard Stéphane;43 r Miromesnil, 75008 PARIS;
Max Poilâne;87 r Brancion, 75015 PARIS;
Pain Noir Pain Blanc;42 r Dauphine, 75006 PARIS;
Au Pain d'Antan;2 r Eugène Sue, 75018 PARIS;
Boulangerie La Bretagne;70 bd Soult, 75012 PARIS;
Boulangerie Lalos;22 r des Belles Feuilles, 75016 PARIS;
Les Viandes du Champ de Mars;122 r St Dominique, 75007 PARIS;
Boucherie Vilmont;4 sq Desaix, 75015 PARIS;
Boucheries Lecourbe;91 r Lecourbe, 75015 PARIS;
Les Abattoirs de la Villette;19 av Corentin Cariou, 75019 PARIS;
Au Billot des Halles;2 r des Prouvaires, 75001 PARIS;
Boucherie Cosse;106 r Charonne, 75011 PARIS;
Boucherie Daguerre;29 r Daguerre, 75014 PARIS;
Boucherie Ducoeur;77 bd Lefebvre, 75015 PARIS;
Leloup Pascal;59 r Oberkampf, 75011 PARIS;
Les Crocs des Halles;49 r Berger, 75001 PARIS;
LES FERMIERS DU BERRY;130 r Roquette, 75011 PARIS;
Les Trois Coqs;48 r Jean Baptiste Pigalle, 75009 PARIS;
Ludavid;1 r Edouard Pailleron, 75019 PARIS;
Maison David;6 r Ecouffes, 75004 PARIS;
Maison Le Fèvre (Montorgueil 84);13 r Cambronne, 75015 PARIS;
Maria Fabrice;49 r Ourcq, 75019 PARIS;
MARY PHILIPPE;221 r Raymond Losserand, 75014 PARIS;
Mas Charcuterie;8 r Daguerre, 75014 PARIS;
Mathieu Dominique;41 av Saxe, 75007 PARIS;
MAZAL;37 r Hautpoul, 75019 PARIS;
Alimentation Wagram;138 av Wagram, 75017 PARIS;
Caviar Petrossian Rive Gauche;18 bd La Tour Maubourg, 75007 PARIS;
Caviar Petrossian Rive Droite;106 bd de Courcelles, 75017 PARIS;
Christian De Montaguère;20 r Abbé Grégoire, 75006 PARIS;
Il Piccolo Capriccio;114 bd Charonne, 75020 PARIS;
La Bottega Di Piacenza;53 r Abbesses, 75018 PARIS;
La Grande Epicerie de Paris;38 r de Sèvres, 75007 PARIS;
La maison du caviar;21 r Quentin Bauchart, 75008 PARIS;
Pasta Dei;129 Bis r Saint Charles, 75015 PARIS;
Petrossian Lafayette Gourmet;35 bd Haussmann, 75009 PARIS;
L'Ortolan;152 r Javel, 75015 PARIS;
Franprix Paris;14 r Thionville, 75019 PARIS;
Franprix Paris;149 r Crimée, 75019 PARIS;
Franprix PARIS;113 r Fbg du Temple, 75010 PARIS;
Franprix PARIS;13 r Sambre et Meuse, 75010 PARIS;
L'Esprit du Légume;110 r Petit, 75019 PARIS;
Franprix Paris;221 r Belleville, 75019 PARIS;
Le Bon Potager;246 r Fbg St Martin, 75010 PARIS;
Franprix PARIS;105 av Simon Bolivar, 75019 PARIS;
Franprix Paris;2 r Georges Auric, 75019 PARIS;
Planète Fruits;5 r Bayen, 75017 PARIS;
OUGHOU PRIMEURS;212 r St Maur, 75010 PARIS;
Ouiddir Rachid;96 r Lemercier, 75017 PARIS;
Palais du Fruit Montorgueil;72 r Montorgueil, 75002 PARIS;
Paniers Cosy;55 bd Charonne, 75011 PARIS;
Pomi Etoile;1 r Poncelet, 75017 PARIS;
